Title,Link,Date
Sources: Teen tourists stabbed in Grand Central Terminal in apparently random Christmas Day attack,https://www.cbsnews.com/news/sources-teen-tourists-stabbed-in-grand-central-terminal-in-apparently-random-christmas-day-attack/,2023-12-26
"As subscription-based health care grows, critics flag concerns",https://www.cbsnews.com/news/subscription-based-health-care-birth-control-hair-loss-cholesterol-mental-health-risks/,2023-12-26
Biden administration allows ban on some Apple Watch imports to take hold,https://www.cbsnews.com/news/apple-watch-series-9-ban-goes-into-effect-biden-administration/,2023-12-26
The redistricting disputes that are shaping the battle for House control,https://www.cbsnews.com/news/redistricting-states-house-congress-control/,2023-12-26
"Marjorie Taylor Greene targeted by attempted swatting call again, on Christmas",https://www.cbsnews.com/news/marjorie-taylor-greene-swatting-call-target-8th-time-christmas-day/,2023-12-26
The push for Narcan in schools amid rising overdose deaths,https://www.cbsnews.com/news/naloxone-narcan-fentanyl-overdose-deaths-students-schools/,2023-12-26
Flu and COVID-19 infections on the rise,https://www.cbsnews.com/video/flu-and-covid-19-infections-rise-ahead-of-holiday-gatherings/,2023-12-26
Researchers study impact of billions of pounds of microplastics on oceans,https://www.cbsnews.com/news/microplastics-environmental-impact-oceans-research-fish-health/,2023-12-26
"New movies open on Christmas as ""Aquaman"" sequel tops box office",https://www.cbsnews.com/news/christmas-movies-aquaman-lost-kingdom-box-office/,2023-12-26
"Young People's Chorus of NYC performs ""Jingle Bells""",https://www.cbsnews.com/video/young-peoples-chorus-of-nyc-performs-jingle-bells/,2023-12-26
"Young People's Chorus of NYC performs ""The Twelve Days of Christmas""",https://www.cbsnews.com/video/young-peoples-chorus-of-nyc-performs-the-twelve-days-of-christmas/,2023-12-26
"NASA releases new image of ""Christmas Tree Cluster""",https://www.cbsnews.com/video/nasa-releases-new-stunning-image-of-christmas-tree-cluster/,2023-12-26
"Teen who leaked Grand Theft Auto VI placed in a ""secure hospital""",https://www.cbsnews.com/news/grand-theft-auto-leak-teen-hacker-hospitalized/,2023-12-26
"""Vanilla Gift"" card issuer faces lawsuit over card-draining scam risk",https://www.cbsnews.com/news/gift-card-vanilla-scam-lawsuit-draining-incomm/,2023-12-26
Company uses AI to combat package thefts,https://www.cbsnews.com/video/how-one-company-is-using-ai-to-combat-package-theft/,2023-12-26
UPS using AI program to try to cut down on package thefts,https://www.cbsnews.com/news/ups-ai-package-theft-porch-pirates-deliverydefense-program/,2023-12-26
Why scientists are hunting for the oldest ice in Antarctica,https://www.cbsnews.com/news/search-for-oldest-ever-ice-in-antarctica/,2023-12-26
The James Webb Space Telescope's continued gifts,https://www.cbsnews.com/news/the-james-webb-space-telescopes-continued-gifts/,2023-12-26
The James Webb Space Telescope's remarkable gifts,https://www.cbsnews.com/video/the-james-webb-space-telescopes-remarkable-gifts/,2023-12-26
Scientists discover 5 furry hedgehog species with pointy snouts,https://www.cbsnews.com/news/hedgehogs-new-species-smithsonian/,2023-12-26
"Octopus DNA reveals collapse of Antarctic ice sheet is ""close""",https://www.cbsnews.com/news/octopus-dna-antarctic-ice-sheet-closer-to-collapse-than-previously-thought/,2023-12-26
"Multiple arrests, officer injured at pro-Palestinian rally, NYPD says",https://www.cbsnews.com/news/multiple-arrests-officer-injured-manhattan-pro-palestinian-protest/,2023-12-26
"When and where to see the Ursids, last meteor shower to peak in 2023",https://www.cbsnews.com/news/ursids-meteor-shower-peak-2023-nasa/,2023-12-26
"""Christmas tree cluster"" found glowing green in space",https://www.cbsnews.com/news/nasa-discovers-cosmic-christmas-tree-cluster-glowing-in-space/,2023-12-26
Blue Origin resumes New Shepard flights after 2022 mishap,https://www.cbsnews.com/news/blue-origin-launch-sub-orbital-new-shepard-flights-in-wake-of-2022-mishap/,2023-12-26
The mysterious disappearance of Mary Day,https://www.cbsnews.com/pictures/mary-day-missing-teen-photos/,2023-12-26
Matthew Trussler murder: Inside the case,https://www.cbsnews.com/pictures/matthew-trussler-murder/,2023-12-26
Notable Deaths in 2023,https://www.cbsnews.com/pictures/notable-deaths-in-2023/,2023-12-26
Catching a killer clown,https://www.cbsnews.com/pictures/killer-clown-marlene-warren-sheila-keen-warren-florida-murder/,2023-12-26
Becky Bliefnick texted about fear of her estranged husband,https://www.cbsnews.com/pictures/becky-bliefnick-murder-evidence-voiced-fear-of-estranged-husband-prior-to-her-death/,2023-12-26
GOP candidates' final push before Iowa caucus,https://www.cbsnews.com/video/republican-candidates-final-push-iowa-caucus-new-hampshire-primary/,2023-12-26
Financial lessons hidden in holiday movies,https://www.cbsnews.com/video/life-and-financial-lessons-hidden-in-classic-holiday-movies/,2023-12-26
Fallout from U.S. retaliatory strikes in Iraq,https://www.cbsnews.com/video/what-do-us-retaliatory-strikes-in-iraq-mean-for-rest-of-middle-east/,2023-12-26
White House concerned over Ukraine funding,https://www.cbsnews.com/video/white-house-concerned-over-ukraine-funding/,2023-12-26
Details on U.S. retaliatory strike in Iraq,https://www.cbsnews.com/video/details-on-us-retaliatory-strike-against-iranian-backed-militants/,2023-12-26
